epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.6226526498794556,0.6739004254341125,0.8044664859771729,0.6213670372962952,0.6282992959022522,0.7139745950698853,0.7906570434570312,0.6535764336585999,0.8184713125228882,0.5554755330085754
1,0.849224328994751,0.9101605415344238,0.4784581661224365,0.8532244563102722,0.8436281085014343,0.9335753321647644,0.9654780030250549,0.33804747462272644,0.9224318861961365,0.9482758641242981
2,0.9208019375801086,0.9615522623062134,0.32214775681495667,0.9108297228813171,0.9329705238342285,0.9266787767410278,0.9716141223907471,0.2903735935688019,0.9040163159370422,0.9560835361480713
3,0.9262451529502869,0.9647049903869629,0.29782965779304504,0.9209960699081421,0.9325231313705444,0.9255898594856262,0.9693762063980103,0.29544416069984436,0.9575944542884827,0.892241358757019
4,0.9287852644920349,0.9667429327964783,0.27870503067970276,0.9214375019073486,0.9374886751174927,0.9353901743888855,0.974227786064148,0.26271459460258484,0.9271198511123657,0.9470293521881104
5,0.9310986399650574,0.9677057862281799,0.26858577132225037,0.9236049056053162,0.9399437308311462,0.9321234226226807,0.9723724126815796,0.2667444348335266,0.9183390736579895,0.9505730867385864
6,0.9309171438217163,0.9654619097709656,0.26919251680374146,0.9193078279495239,0.9447468519210815,0.931034505367279,0.9669010639190674,0.26777297258377075,0.901201605796814,0.9698275923728943
7,0.9343644976615906,0.9686048626899719,0.25478875637054443,0.9322860240936279,0.9367685914039612,0.938293993473053,0.9738222360610962,0.26262110471725464,0.9339488744735718,0.9446839094161987
8,0.9331398010253906,0.9699705839157104,0.25169143080711365,0.9356015920639038,0.9303401112556458,0.9368420839309692,0.9738597869873047,0.24610309302806854,0.924358069896698,0.9534717202186584
9,0.9365871548652649,0.97147536277771,0.24139952659606934,0.932428777217865,0.9413952827453613,0.9303085207939148,0.9681538343429565,0.25783413648605347,0.9007989168167114,0.969197690486908
10,0.9363150000572205,0.9726431369781494,0.23743091523647308,0.9324045181274414,0.940861701965332,0.9419237971305847,0.9778941869735718,0.2379400134086609,0.942060112953186,0.9434097409248352
11,0.9342284202575684,0.9728556871414185,0.24207666516304016,0.9331403374671936,0.9355102181434631,0.9332123398780823,0.9698374271392822,0.26345762610435486,0.9070081114768982,0.9669540524482727
12,0.9321872591972351,0.9732648730278015,0.24140644073486328,0.9331939816474915,0.9310782551765442,0.9386569857597351,0.9771701097488403,0.24526497721672058,0.9364739656448364,0.9425287246704102
13,0.9364510774612427,0.9744390845298767,0.23295274376869202,0.9356386065483093,0.937420666217804,0.9386569857597351,0.9788997769355774,0.23295532166957855,0.9333806037902832,0.9461206793785095
14,0.9359067678451538,0.9718596935272217,0.2403733730316162,0.9402766227722168,0.9309813380241394,0.9408348202705383,0.9784290790557861,0.22866883873939514,0.9358974099159241,0.9473684430122375
15,0.9316429495811462,0.9712790846824646,0.24628759920597076,0.9370982646942139,0.9254556894302368,0.9411978125572205,0.9772838354110718,0.2376290261745453,0.9416846632957458,0.9416846632957458
16,0.9359067678451538,0.9738126397132874,0.23362790048122406,0.9421343207359314,0.9288889169692993,0.9426497220993042,0.9786094427108765,0.23035287857055664,0.9396306872367859,0.9477077126502991
17,0.9389004707336426,0.9727603793144226,0.23138341307640076,0.9374434947967529,0.9405895471572876,0.9375680685043335,0.974577784538269,0.23734401166439056,0.9224376678466797,0.9568965435028076
18,0.9402612447738647,0.9737702012062073,0.2282400131225586,0.9425444602966309,0.937670111656189,0.9274047017097473,0.9660967588424683,0.2629779875278473,0.8928571343421936,0.9726224541664124
19,0.9381293654441833,0.9724514484405518,0.23092569410800934,0.9346711039543152,0.942131519317627,0.9401088953018188,0.9737211465835571,0.2462194561958313,0.9302816987037659,0.9524152874946594
20,0.9370407462120056,0.9729148149490356,0.23407460749149323,0.9429885149002075,0.9303274750709534,0.934664249420166,0.9681064486503601,0.2531546950340271,0.9078062176704407,0.9691091775894165
21,0.9375850558280945,0.971336841583252,0.23360583186149597,0.9366286396980286,0.9386681318283081,0.9361161589622498,0.9662767052650452,0.2654781937599182,0.9224913716316223,0.9541875720024109
22,0.9376304149627686,0.9722835421562195,0.23293671011924744,0.9440456628799438,0.9304308295249939,0.9386569857597351,0.9709504842758179,0.2402699589729309,0.9171800017356873,0.9654178619384766
23,0.9365417957305908,0.9732866287231445,0.22985400259494781,0.9393828511238098,0.9333333373069763,0.931034505367279,0.9664549827575684,0.2556164860725403,0.8977572321891785,0.9749283790588379
24,0.939172625541687,0.9731777310371399,0.22659437358379364,0.9410639405250549,0.9370521306991577,0.9401088953018188,0.97104811668396,0.23899173736572266,0.9161595702171326,0.9706303477287292
